,Número fallecidos,Población,Tasa de mortalidad por 100.000 habitantes
edad 0 a 4,0,28349,0.0
edad 5 a 14,1,45465,2.1994941163532387
edad 15 a 44,3,198767,1.5093048644895781
edad 45 a 64,41,113931,35.986693700573156
edad 65 a 84,89,53426,166.58555759368096
edad 85 a 99,30,6021,498.2561036372696
edad 100 o más,0,201,0.0
