País,Total_Casos,Fallecidos,Población,Tasa de mortalidad por millón de habitantes,Tasa de letalidad por cien habitantes
República de Corea,27553,480,51269000,9.362382726403869,1.7420970493231227
República de Moldova,81675,1891,4034000,468.7654933068914,2.315273951637588
Rumania,296999,7793,19238000,405.0836885331115,2.6239145586348775
Federación Rusa,1774334,30537,145934000,209.25212767415405,1.7210401198421492
Ruanda,5213,36,12952000,2.7794935145151327,0.6905812392096682
Reunión,6264,27,895000,30.16759776536313,0.43103448275862066
San Bartolomé,90,0,10000,0.0,0.0
Santa Lucía,123,0,184000,0.0,0.0
San Pedro y Miquelón,14,0,6000,0.0,0.0
San Vicente y las Granadinas,76,0,111000,0.0,0.0
Samoa,0,0,198000,0.0,
San Marino,1101,42,34000,1235.2941176470588,3.8147138964577656
Santo Tomé y Príncipe,962,16,219000,73.05936073059361,1.6632016632016633
Arabia Saudita,350592,5540,34814000,159.13138392600678,1.5801843738590726
Senegal,15668,326,16744000,19.4696607740086,2.0806739851927496
Serbia,60635,880,8737000,100.72107130594026,1.451307000907067
Seychelles,154,0,98000,0.0,0.0
Sierra Leona,2373,74,7977000,9.276670427479003,3.1184155077960387
Singapur,58056,28,5850000,4.786324786324786,0.04822929585228056
Eslovaquia,73667,351,5460000,64.28571428571429,0.4764684322695372
Eslovenia,44271,378,2079000,181.8181818181818,0.8538320796909941
Islas Salomón,13,0,687000,0.0,0.0
Somalia,4229,107,15893000,6.732523752595482,2.530148971388035
Sudáfrica,735906,19789,59309000,333.65930971690636,2.689066266615573
Sudán del Sur,2943,59,11194000,5.270680721815258,2.0047570506286103
España,1328832,38833,46755000,830.5635760881189,2.9223408226171554
Sri Lanka,13929,35,21413000,1.6345210853220007,0.2512743197645201
Sudán,14155,1116,43849000,25.45097949782207,7.884139879901094
Surinam,5234,113,587000,192.50425894378193,2.1589606419564387
Suecia,146461,6022,10099000,596.2966630359441,4.111674780316944
Suiza,211160,2404,8655000,277.7585210860774,1.1384731956810001
República Árabe Siria,6215,317,17501000,18.113250671390208,5.100563153660499
Tayikistán,11294,83,9538000,8.702033969385615,0.734903488578006
Tailandia,3840,60,69800000,0.8595988538681949,1.5625
Timor-Leste,30,0,1318000,0.0,0.0
Ir,2442,57,8279000,6.884889479405725,2.334152334152334
Tokelau,0,0,1000,0.0,
Tonga,0,0,106000,0.0,
Trinidad y Tobago,5838,111,1399000,79.3423874195854,1.9013360739979446
Túnez,71131,1873,11819000,158.4736441323293,2.633169785325667
pavo,391739,10803,84339000,128.0902073773699,2.7577034709334534
Turkmenistán,0,0,6031000,0.0,
Islas Turcas y Caicos,707,6,39000,153.84615384615384,0.8486562942008486
Tuvalu,0,0,12000,0.0,
Uganda,14066,131,45741000,2.86395137841324,0.9313237594198778
Ucrania,460331,8450,43734000,193.21351808661453,1.8356356621648335
Emiratos Árabes Unidos,142143,514,9890000,51.97168857431749,0.36160767677620426
República Unida de Tanzania,509,21,59734000,0.3515585763551746,4.12573673870334
Islas Vírgenes de los Estados Unidos,1405,23,104000,221.15384615384616,1.6370106761565837
Estados Unidos de America,9763730,235562,331003000,711.6612236142875,2.4126230446765735
Uruguay,3441,61,3474000,17.559009786989062,1.7727404824179018
Vanuatu,0,0,307000,0.0,
Venezuela (República Bolivariana de),94698,824,28436000,28.977352651568435,0.8701345329362816
Vietnam,1213,35,97339000,0.3595681073362167,2.8854080791426218
Yemen,2070,602,29826000,20.18373231408838,29.082125603864732
Zambia,16908,349,18384000,18.983899042645778,2.0641116631180503
Zimbabue,8471,250,14863000,16.820292000269124,2.9512454255695904
